,ds,y
245,2016-09-02,560239562
246,2016-09-03,3706157
247,2016-09-04,6174079
248,2016-09-05,193716227
249,2016-09-06,399934962
250,2016-09-07,458251047
251,2016-09-08,271277293
252,2016-09-09,206055995
253,2016-09-10,9211780
254,2016-09-11,5242011
255,2016-09-12,234843165
256,2016-09-13,237055958
257,2016-09-14,248092831
258,2016-09-15,6490266
259,2016-09-16,3075800
260,2016-09-17,5007237
261,2016-09-18,127297259
262,2016-09-19,284950036
263,2016-09-20,607580368
264,2016-09-21,414761641
265,2016-09-22,701947663
266,2016-09-23,467098676
267,2016-09-24,3630285
268,2016-09-25,9383877
269,2016-09-26,482284124
270,2016-09-27,568397682
271,2016-09-28,402978845
272,2016-09-29,325508012
273,2016-09-30,1258171374
274,2016-10-01,3141691
275,2016-10-02,1013598
276,2016-10-03,102849194
277,2016-10-04,1866992
278,2016-10-05,3869890
279,2016-10-06,5966570
280,2016-10-07,10309824
281,2016-10-08,177716792
282,2016-10-09,176743866
283,2016-10-10,327476106
284,2016-10-11,348494609
285,2016-10-12,612274508
286,2016-10-13,277864800
287,2016-10-14,307813001
288,2016-10-15,3078342
289,2016-10-16,3886290
290,2016-10-17,277852730
291,2016-10-18,320157200
292,2016-10-19,321980740
293,2016-10-20,496033527
294,2016-10-21,284146280
295,2016-10-22,7948559
296,2016-10-23,5576599
297,2016-10-24,176864832
298,2016-10-25,222673181
299,2016-10-26,294638267
300,2016-10-27,349064657
301,2016-10-28,396538325
302,2016-10-29,7910173
303,2016-10-30,2944141
304,2016-10-31,269035976
305,2016-11-01,230648254
306,2016-11-02,426760659
307,2016-11-03,646759637
308,2016-11-04,329738249
309,2016-11-05,3850138
310,2016-11-06,4575042
311,2016-11-07,276931765
312,2016-11-08,311710447
313,2016-11-09,361715513
314,2016-11-10,326171131
315,2016-11-11,253080923
316,2016-11-12,6525684
317,2016-11-13,10536720
318,2016-11-14,344951105
319,2016-11-15,300505900
320,2016-11-16,433402980
321,2016-11-17,306746936
322,2016-11-18,262923155
323,2016-11-19,4885716
324,2016-11-20,3573432
325,2016-11-21,761187658
326,2016-11-22,387690839
327,2016-11-23,330013999
328,2016-11-24,236798588
329,2016-11-25,464071707
330,2016-11-26,8525939
331,2016-11-27,5648402
332,2016-11-28,809520466
333,2016-11-29,281285302
334,2016-11-30,350854316
335,2016-12-01,265434657
336,2016-12-02,339044440
337,2016-12-03,7429451
338,2016-12-04,3689699
339,2016-12-05,339635228
340,2016-12-06,274589623
341,2016-12-07,454450867
342,2016-12-08,366605374
343,2016-12-09,280261650
344,2016-12-10,9468323
345,2016-12-11,9569196
346,2016-12-12,316351560
347,2016-12-13,302591615
348,2016-12-14,232259667
349,2016-12-15,354197108
350,2016-12-16,730425632
351,2016-12-17,5458427
352,2016-12-18,12086956
353,2016-12-19,607565719
354,2016-12-20,430777111
355,2016-12-21,470963000
356,2016-12-22,848907133
357,2016-12-23,628294139
358,2016-12-24,9929077
359,2016-12-25,5498736
360,2016-12-26,198098994
361,2016-12-27,353791322
362,2016-12-28,1093186095
363,2016-12-29,412319566
364,2016-12-30,271623044
365,2016-12-31,7804028
