,ds,y
267,2016-09-30,3523
268,2016-10-01,1
269,2016-10-02,3
270,2016-10-03,2
271,2016-10-04,1
272,2016-10-05,1
273,2016-10-06,3
274,2016-10-07,10
275,2016-10-08,8003
276,2016-10-09,2214
277,2016-10-10,399
278,2016-10-11,3406
279,2016-10-12,4339
280,2016-10-13,3117
281,2016-10-14,3355
282,2016-10-15,3
283,2016-10-16,5
284,2016-10-17,3289
285,2016-10-18,3263
286,2016-10-19,3144
287,2016-10-20,3123
288,2016-10-21,2892
289,2016-10-22,4
290,2016-10-23,8
291,2016-10-24,3207
292,2016-10-25,3070
293,2016-10-26,3250
294,2016-10-27,3163
295,2016-10-28,3054
296,2016-10-29,5
297,2016-10-30,1
298,2016-10-31,3263
299,2016-11-01,3098
300,2016-11-02,2883
301,2016-11-03,2905
302,2016-11-04,3180
303,2016-11-05,8
304,2016-11-06,7
305,2016-11-07,3199
306,2016-11-08,3206
307,2016-11-09,3162
308,2016-11-10,3110
309,2016-11-11,2151
310,2016-11-12,5
311,2016-11-13,1
312,2016-11-14,2949
313,2016-11-15,3922
314,2016-11-16,3471
315,2016-11-17,3204
316,2016-11-18,3208
317,2016-11-19,3
318,2016-11-20,7
319,2016-11-21,3277
320,2016-11-22,3268
321,2016-11-23,3328
322,2016-11-24,2003
323,2016-11-25,3017
324,2016-11-26,5
325,2016-11-27,3
326,2016-11-28,4036
327,2016-11-29,3453
328,2016-11-30,3383
329,2016-12-01,3505
330,2016-12-02,3271
331,2016-12-03,5
332,2016-12-04,7
333,2016-12-05,3277
334,2016-12-06,3291
335,2016-12-07,3347
336,2016-12-08,3410
337,2016-12-09,3179
338,2016-12-10,10
339,2016-12-11,2
340,2016-12-12,3192
341,2016-12-13,3046
342,2016-12-14,3187
343,2016-12-15,3296
344,2016-12-16,3397
345,2016-12-17,4
346,2016-12-18,8
347,2016-12-19,3398
348,2016-12-20,3395
349,2016-12-21,3372
350,2016-12-22,3367
351,2016-12-23,3469
352,2016-12-24,16
353,2016-12-25,3
354,2016-12-26,2269
355,2016-12-27,1810
356,2016-12-28,3644
357,2016-12-29,3726
358,2016-12-30,3229
359,2016-12-31,20
